source	target	sign	mechanism
rocG	arginine	1	
ndh	NADH	1	
ndh	NAD	1	
argH	arginine	1	
feuB	Iron	1	
feuB	Iron	-1	
feuB	Bacillibactin	1	
feuB	Enterobactin	0	
feuB	unk	0	
manP	Mannose	1	
lysP	Lysine	1	
mdxE	unk	0	
yesY	unk	0	
yesY	"D-fructose-1,6-bisphosphate"	1	
yesY	Glucose-6-Phosphate	1	
tuaA.1	phosphate	-1	
thiU	TPP	-1	
ureA	Glutamine	-1	
ureA	Allantoin	1	
ureA	Urate	1	
ureA	Allantoate	1	
ureA	Glutamine	1	
ureA	GTP	1	
ureA	isoleucine	1	
ureA	valine	1	
yvfW	Lactate	-1	
sigB	"D-fructose-1,6-bisphosphate"	1	
sigB	Glucose-6-Phosphate	1	
msmR	"D-fructose-1,6-bisphosphate"	1	
msmR	Glucose-6-Phosphate	1	
msmR	unk	-1	
mdh	Iron	-1	
mdh	Citrate	-1	
mdh	"D-fructose-1,6-bisphosphate"	1	
mdh	Glucose-6-Phosphate	1	
mdh	GTP	1	
mdh	isoleucine	1	
mdh	valine	1	
rhgT	unk	0	
rhgT	"D-fructose-1,6-bisphosphate"	1	
rhgT	Glucose-6-Phosphate	1	
bioB	Biotin	1	
skfE	phosphate	-1	
cysP	S-adenosyl-L-methionine	-1	
cysP	O-acetyl-L-serine	-1	
citZ	Iron	-1	
citZ	Citrate	-1	
citZ	"D-fructose-1,6-bisphosphate"	1	
citZ	Glucose-6-Phosphate	1	
citZ	GTP	1	
citZ	isoleucine	1	
citZ	valine	1	
sucD	"D-fructose-1,6-bisphosphate"	1	
sucD	Glucose-6-Phosphate	1	
galT	"D-fructose-1,6-bisphosphate"	1	
galT	Glucose-6-Phosphate	1	
yhgD	unk	0	
ydaO	ATP	1	
phoD	phosphate	-1	
exuM	Galacturonate	-1	
exuM	"D-fructose-1,6-bisphosphate"	1	
exuM	Glucose-6-Phosphate	1	
yydK	beta-glucoside-6-phosphate	-1	
uxaC	Galacturonate	-1	
uxaC	"D-fructose-1,6-bisphosphate"	1	
uxaC	Glucose-6-Phosphate	1	
hemZ	NADH	1	
hemZ	NAD	1	
hemZ	Menaquinone	1	
hemZ	Oxygen	-1	
yxiE	Salicin	1	
yxiE	Arbutin	1	
yxiE	"D-fructose-1,6-bisphosphate"	1	
yxiE	Glucose-6-Phosphate	1	
kipI	Glutamine	-1	
kipI	unk	0	
cysJ	unk	-1	
cysJ	Flavonoids::stress	-1	
rsbW	"D-fructose-1,6-bisphosphate"	1	
rsbW	Glucose-6-Phosphate	1	
mtnN	Thiol_specific_oxidative_stress::stress	1	
mtnN	O-acetyl-L-serine	-1	
ycbD	D-Glucarate	-1	
ycbD	D-Galactarate	-1	
nfrA	Thiol_specific_oxidative_stress::stress	1	
cysE	tRNAcys	-1	
yvfU	unk	0	
copB	Copper::stress	-1	
copB	Zinc::stress	0	
copB	Nickel::stress	0	
copB	Manganese::stress	0	
copB	Molybdenum::stress	0	
ynzC	DNA_Damage	1	
ykoL	Glutamine	-1	
ykoL	phosphate	-1	
yusV	Iron	1	
hisI	Histidine	1	
yjcG	GTP	1	
yjcG	isoleucine	1	
yjcG	valine	1	
pstA	phosphate	-1	
arfM	Oxygen	-1	
pyrF	UTP	1	
pyrF	PRPP	-1	
pyrF	UMP	1	
ykvR	DNA_Damage	1	
fabF	Malonyl-CoA	-1	
yetA	"D-fructose-1,6-bisphosphate"	1	
yetA	Glucose-6-Phosphate	1	
epsE	unk	0	
epsC	unk	0	
yjcF	GTP	1	
yjcF	isoleucine	1	
yjcF	valine	1	
slp	GTP	1	
slp	isoleucine	1	
slp	valine	1	
yvbY	Lactate	-1	
iolR	2-deoxy-5-keto-D-gluconic-acid-6-phosphate	-1	
malK	unk	0	
yngI	"D-fructose-1,6-bisphosphate"	1	
yngI	Glucose-6-Phosphate	1	
acoB	"D-fructose-1,6-bisphosphate"	1	
acoB	Glucose-6-Phosphate	1	
acoB	acetoin	1	
queF	Queuosine	-1	
ysnD	Glutamine	-1	
ansB	asparagine	-1	
ywcJ	NADH	1	
ywcJ	NAD	1	
ywcJ	Oxygen	-1	
ywcJ	"D-fructose-1,6-bisphosphate"	1	
ywcJ	Glucose-6-Phosphate	1	
yrkF	unk	0	
ykkC	unk	0	
fliJ	GTP	1	
fliJ	isoleucine	1	
fliJ	valine	1	
prpD	"D-fructose-1,6-bisphosphate"	1	
prpD	Glucose-6-Phosphate	1	
tagC	DNA_Damage	1	
yjeA	unk	-1	
pel	Glutamine	-1	
pel	ComX	1	
pel	"D-fructose-1,6-bisphosphate"	1	
pel	Glucose-6-Phosphate	1	
fabI	Malonyl-CoA	-1	
nusB	PRPP	-1	
rocD	Ornithine	1	
rocD	Citrulline	1	
rocD	GTP	1	
rocD	isoleucine	1	
rocD	valine	1	
rocD	arginine	1	
narH	Oxygen	-1	
yuaG	GTP	1	
yuaG	isoleucine	1	
yuaG	valine	1	
sacC	fructose	1	
sacC	"D-fructose-1,6-bisphosphate"	1	
sacC	Glucose-6-Phosphate	1	
rpsNB	Zinc	1	
argC	arginine	1	
argC	Glutamine	-1	
pbuO	PRPP	-1	
artQ	arginine	1	
yclD	Salicylate::stress	1	
rpoE	Palmitoyl-CoA	1	
rpoE	Oleoyl-CoA	0	
sigO	unk	0	
phoP	phosphate	-1	
phoP	"D-fructose-1,6-bisphosphate"	1	
phoP	Glucose-6-Phosphate	1	
phoP	Menaquinone	1	
phoP	unk	-1	
glnR	Glutamine	-1	
glnR	Glutamine	1	
des	unk	-1	
ybaK	DNA_Damage	1	
gmuR	Glucomannan	-1	
gmuR	"D-fructose-1,6-bisphosphate"	1	
gmuR	Glucose-6-Phosphate	1	
ywbB	ribose	-1	
fmnP	Riboflavin-5-phosphate	-1	
yesW	unk	0	
yesW	"D-fructose-1,6-bisphosphate"	1	
yesW	Glucose-6-Phosphate	1	
dnaE	DNA_Damage	1	
ylbH	unk	0	
licB	Salicin	1	
licB	"D-fructose-1,6-bisphosphate"	1	
licB	Glucose-6-Phosphate	1	
licB	ribose	-1	
yxjI	unk	-1	
epsK	unk	0	
uvrC	DNA_Damage	1	
acsA	GTP	1	
acsA	isoleucine	1	
acsA	valine	1	
acsA	"D-fructose-1,6-bisphosphate"	1	
acsA	Glucose-6-Phosphate	1	
citA	unk	-1	
citA	GTP	1	
citA	isoleucine	1	
citA	valine	1	
yflN	Citrate::extracellular	1	
yflN	"D-fructose-1,6-bisphosphate"	1	
yflN	Glucose-6-Phosphate	1	
ydhF	phosphate	-1	
yneB	DNA_Damage	1	
ftsA	unk	-1	
ssuB	O-acetyl-L-serine	-1	
ssuB	Thiol_specific_oxidative_stress::stress	1	
eno	"D-fructose-1,6-bisphosphate"	-1	
ganQ	unk	-1	
ganQ	"D-fructose-1,6-bisphosphate"	1	
ganQ	Glucose-6-Phosphate	1	
pucE	Glutamine	-1	
pucE	Allantoin	1	
pucE	Urate	1	
pucE	Allantoate	1	
ywjB	Iron	1	
artR	arginine	1	
yvdJ	unk	0	
bioK	Biotin	1	
flhB	GTP	1	
flhB	isoleucine	1	
flhB	valine	1	
mrgA	Hydrogen_peroxide::stress	-1	
glnA	Glutamine	-1	
glnA	Glutamine	1	
yulC	L-rhamnulose-1-phosphate	-1	
rocA	Ornithine	1	
rocA	Citrulline	1	
rocA	GTP	1	
rocA	isoleucine	1	
rocA	valine	1	
rocA	arginine	1	
exuR	Galacturonate	-1	
exuR	"D-fructose-1,6-bisphosphate"	1	
exuR	Glucose-6-Phosphate	1	
yngB	unk	-1	
hisS	tRNAhis	-1	
hisS	tRNAasp	-1	
bglA	beta-glucoside-6-phosphate	-1	
ytrA	Ramoplanin::stress	-1	
opuE	"D-fructose-1,6-bisphosphate"	1	
opuE	Glucose-6-Phosphate	1	
opuE	GTP	1	
opuE	isoleucine	1	
opuE	valine	1	
lytC	unk	0	
mgsR	stress:	1	
mgsR	Ethanol	0	
mgsR	thiol	0	
mgsR	formation	0	
qodI	Flavonoids	-1	
yolJ	unk	0	
cheA	GTP	1	
cheA	isoleucine	1	
cheA	valine	1	
adcC	Zinc	1	
pgsE	unk	-1	
pgsE	Glutamine	-1	
cotR	GTP	1	
cotR	isoleucine	1	
cotR	valine	1	
ylaA	Thiol_specific_oxidative_stress::stress	1	
sspP	GTP	1	
sspP	isoleucine	1	
sspP	valine	1	
yozM	DNA_Damage	1	
yozM	"D-fructose-1,6-bisphosphate"	1	
yozM	Glucose-6-Phosphate	1	
yybA	unk	0	
ytvA	Thiol_specific_oxidative_stress::stress	1	
glnM	Glutamine	-1	
glnM	GTP	1	
glnM	isoleucine	1	
glnM	valine	1	
sat	S-adenosyl-L-methionine	-1	
sat	O-acetyl-L-serine	-1	
exuT	Galacturonate	-1	
exuT	"D-fructose-1,6-bisphosphate"	1	
exuT	Glucose-6-Phosphate	1	
yqgW	"D-fructose-1,6-bisphosphate"	1	
yqgW	Glucose-6-Phosphate	1	
yvoA	N-Acetyl-D-glucosamine-6-phosphate	-1	
yvoA	"D-fructose-1,6-bisphosphate"	1	
yvoA	Glucose-6-Phosphate	1	
yhaM	DNA_Damage	1	
yrdP	Copper::stress	-1	
yrdP	Zinc::stress	0	
yrdP	Nickel::stress	0	
yrdP	Manganese::stress	0	
yrdP	Molybdenum::stress	0	
yxeA	stress:toxic-peptide	1	
pyrR	UTP	1	
pyrR	PRPP	-1	
pyrR	UMP	1	
coaD	unk	0	
yttA	Glutamine	-1	
tuaG	phosphate	-1	
malL	unk	0	
ysmA	"D-fructose-1,6-bisphosphate"	1	
ysmA	Glucose-6-Phosphate	1	
yqxI	"D-fructose-1,6-bisphosphate"	1	
yqxI	Glucose-6-Phosphate	1	
epsI	unk	0	
fliP	GTP	1	
fliP	isoleucine	1	
fliP	valine	1	
tuaF	phosphate	-1	
yrkO	unk	0	
lrgA	"D-fructose-1,6-bisphosphate"	1	
lrgA	Glucose-6-Phosphate	1	
lrgA	unk	0	
ykuD	"D-fructose-1,6-bisphosphate"	1	
ykuD	Glucose-6-Phosphate	1	
yvyG	unk	-1	
yxeB	Iron	1	
glcR	unk	0	
ykvZ	beta-glucoside	-1	
sigD	GTP	1	
sigD	isoleucine	1	
sigD	valine	1	
hemB	Hydrogen_peroxide::stress	-1	
ykcB	unk	0	
ykcB	unk	-1	
acoR	"D-fructose-1,6-bisphosphate"	1	
acoR	Glucose-6-Phosphate	1	
yclJ	Menaquinone	1	
yhcH	4-Aminobutanoate	1	
yvrH	unk	0	
yhaN	DNA_Damage	1	
opuBB	Betaine	1	
opuBB	Choline	-1	
opuBB	GTP	1	
opuBB	isoleucine	1	
opuBB	valine	1	
opuBB	unk	0	
ywrA	unk	0	
yufO	GTP	1	
yufO	isoleucine	1	
yufO	valine	1	
fnr	Menaquinone	1	
fnr	Nitricoxide	-1	
fnr	Oxygen	-1	
citH	"D-fructose-1,6-bisphosphate"	1	
citH	Glucose-6-Phosphate	1	
besA	Iron	1	
folD	PRPP	-1	
gntK	Gluconate	-1	
gntK	"D-fructose-1,6-bisphosphate"	1	
gntK	Glucose-6-Phosphate	1	
gntK	unk	0	
copA	Copper	-1	
tagA	unk	-1	
tagA	phosphate	-1	
ctaC	Menaquinone	1	
ctaC	"D-fructose-1,6-bisphosphate"	1	
ctaC	Glucose-6-Phosphate	1	
yvfS	unk	0	
mhqA	Methylglyoxal::stress	-1	
yflS	Malate::extracellular	1	
tuaH	phosphate	-1	
yodB	Quinone::stress	-1	
ytlI	O-acetyl-L-serine	-1	
ytlI	Thiol_specific_oxidative_stress::stress	1	
ytlI	unk	1	
iscS.1	GTP	1	
iscS.1	isoleucine	1	
iscS.1	valine	1	
ybbA	Iron	1	
ybbA	Iron	-1	
ybbA	Bacillibactin	1	
ybbA	Enterobactin	0	
ybbA	unk	0	
yhcE	4-Aminobutanoate	1	
yqcK	Arsenite::stress	-1	
yqcK	Cadmium::stress	0	
yqcK	Silver::stress	0	
pckA	unk	0	
braB	GTP	1	
braB	isoleucine	1	
braB	valine	1	
ganP	unk	-1	
ganP	"D-fructose-1,6-bisphosphate"	1	
ganP	Glucose-6-Phosphate	1	
levD	fructose	1	
levD	"D-fructose-1,6-bisphosphate"	1	
levD	Glucose-6-Phosphate	1	
yciC	Zinc	1	
opuCA	GTP	1	
opuCA	isoleucine	1	
opuCA	valine	1	
opuCA	unk	0	
mmsA	2-deoxy-5-keto-D-gluconic-acid-6-phosphate	-1	
mmsA	"D-fructose-1,6-bisphosphate"	1	
mmsA	Glucose-6-Phosphate	1	
gmuC	Glucomannan	-1	
gmuC	"D-fructose-1,6-bisphosphate"	1	
gmuC	Glucose-6-Phosphate	1	
ywoF	Glutamine	-1	
flgK	unk	-1	
opuCD	GTP	1	
opuCD	isoleucine	1	
opuCD	valine	1	
opuCD	unk	0	
araE	"D-fructose-1,6-bisphosphate"	1	
araE	Glucose-6-Phosphate	1	
araE	Arabinose	-1	
rbsR	"D-fructose-1,6-bisphosphate"	1	
rbsR	Glucose-6-Phosphate	1	
rbsR	ribose	-1	
skfF	phosphate	-1	
ykfB	GTP	1	
ykfB	isoleucine	1	
ykfB	valine	1	
ycsF	Glutamine	-1	
ycsF	unk	0	
mntB	Mn	1	
yxbB	GTP	1	
yxbB	isoleucine	1	
yxbB	valine	1	
dltA	unk	0	
yusO	stress:	-1	
yusO	fusidic	0	
yusO	acid	0	
yusO	(probably	0	
yusO	other)	0	
amtB	Glutamine	-1	
azlD	4-azaleucine::stress	-1	
yufQ	GTP	1	
yufQ	isoleucine	1	
yufQ	valine	1	
lcfA	Palmitoyl-CoA	1	
lcfA	Oleoyl-CoA	0	
lcfA	"D-fructose-1,6-bisphosphate"	1	
lcfA	Glucose-6-Phosphate	1	
mcsB	HeatShock	-1	
ydbM	O-acetyl-L-serine	-1	
purN	PRPP	-1	
purN	Hypoxanthine	-1	
purN	Guanine	-1	
yneA	DNA_Damage	1	
ymcB	Iron	1	
pbuX	PRPP	-1	
pbuX	Hypoxanthine	-1	
pbuX	Guanine	-1	
nagP.1	N-Acetyl-D-glucosamine-6-phosphate	-1	
yuaE	GTP	1	
yuaE	isoleucine	1	
yuaE	valine	1	
acdA	Palmitoyl-CoA	1	
acdA	Oleoyl-CoA	0	
cidA	unk	0	
kipR	Glutamine	-1	
kipR	unk	0	
yxeQ	O-acetyl-L-serine	-1	
yxeQ	Thiol_specific_oxidative_stress::stress	1	
yjnA	GTP	1	
yjnA	isoleucine	1	
yjnA	valine	1	
carB	arginine	1	
carB	Glutamine	-1	
gntZ	Gluconate	-1	
gntZ	"D-fructose-1,6-bisphosphate"	1	
gntZ	Glucose-6-Phosphate	1	
gntZ	unk	0	
yodF	Glutamine	-1	
yodF	GTP	1	
yodF	isoleucine	1	
yodF	valine	1	
fliE	GTP	1	
fliE	isoleucine	1	
fliE	valine	1	
citS	"D-fructose-1,6-bisphosphate"	1	
citS	Glucose-6-Phosphate	1	
ruvA	DNA_Damage	1	
scoB	"D-fructose-1,6-bisphosphate"	1	
scoB	Glucose-6-Phosphate	1	
argD	arginine	1	
argD	Glutamine	-1	
dppD	GTP	1	
dppD	isoleucine	1	
dppD	valine	1	
czcD	Copper::stress	-1	
czcD	Zinc::stress	0	
czcD	Nickel::stress	0	
czcD	Manganese::stress	0	
czcD	Molybdenum::stress	0	
fruR	D-fructose-6-phosphate	-1	
fruR	"D-fructose-1,6-bisphosphate"	1	
fruR	Glucose-6-Phosphate	1	
ykuK	Citrate	-1	
ykuK	"D-fructose-1,6-bisphosphate"	1	
ykuK	Glucose-6-Phosphate	1	
yfmE	Iron	1	
ywdA	Sucrose	1	
ywdA	"D-fructose-1,6-bisphosphate"	1	
ywdA	Glucose-6-Phosphate	1	
folC	tRNAval	-1	
yoyD	Glutamine	-1	
yoyD	GTP	1	
yoyD	isoleucine	1	
yoyD	valine	1	
recO	Glutamine	-1	
sdhC	"D-fructose-1,6-bisphosphate"	1	
sdhC	Glucose-6-Phosphate	1	
ytnJ	unk	1	
ytnJ	O-acetyl-L-serine	-1	
ytnJ	Thiol_specific_oxidative_stress::stress	1	
ypzK	Riboflavin-5-phosphate	-1	
yfiZ	Iron	1	
srfAA	Thiol_specific_oxidative_stress::stress	1	
srfAA	Hydrogen_peroxide::stress	-1	
srfAA	ComX	1	
srfAA	GTP	1	
srfAA	isoleucine	1	
srfAA	valine	1	
dtpT	Glutamine	-1	
flgD	GTP	1	
flgD	isoleucine	1	
flgD	valine	1	
deoC	deoxyribose-5-phosphate	-1	
deoC	"D-fructose-1,6-bisphosphate"	1	
deoC	Glucose-6-Phosphate	1	
frlN	Fructoselysine6-phosphate	-1	
frlN	GTP	1	
frlN	isoleucine	1	
frlN	valine	1	
kdgA	2-keto-3-deoxygluconate	-1	
kdgA	"D-fructose-1,6-bisphosphate"	1	
kdgA	Glucose-6-Phosphate	1	
rex.1	NADH	1	
rex.1	NAD	1	
flgL	unk	-1	
serS	tRNAser	-1	
argB	arginine	1	
argB	Glutamine	-1	
mcpC	GTP	1	
mcpC	isoleucine	1	
mcpC	valine	1	
ydgG	DNA_Damage	1	
argS	tRNAarg	-1	
licC	Salicin	1	
licC	"D-fructose-1,6-bisphosphate"	1	
licC	Glucose-6-Phosphate	1	
licC	ribose	-1	
sboX	Menaquinone	1	
opuCB	GTP	1	
opuCB	isoleucine	1	
opuCB	valine	1	
opuCB	unk	0	
ctaB	Menaquinone	1	
fhuD	Iron	1	
lctP	NADH	1	
lctP	NAD	1	
lctP	Menaquinone	1	
lctP	acetate	1	
lctP	Oxygen	-1	
licH	Salicin	1	
licH	"D-fructose-1,6-bisphosphate"	1	
licH	Glucose-6-Phosphate	1	
licH	ribose	-1	
ylbB	"D-fructose-1,6-bisphosphate"	1	
ylbB	Glucose-6-Phosphate	1	
rsbX	"D-fructose-1,6-bisphosphate"	1	
rsbX	Glucose-6-Phosphate	1	
dppE	GTP	1	
dppE	isoleucine	1	
dppE	valine	1	
ywoD	Ramoplanin::stress	-1	
tnrA	Glutamine	-1	
tnrA	Glutamine	1	
tagD	unk	-1	
tagD	phosphate	-1	
dltC	unk	0	
pabC	Tryptophan	1	
bsdD	Salicylate::stress	1	
ohrA	Organic_peroxides::stress	-1	
clpC	HeatShock	-1	
pgdS	Glutamine	-1	
pgsB	unk	-1	
pgsB	Glutamine	-1	
tuaC	phosphate	-1	
ytcP	"D-fructose-1,6-bisphosphate"	1	
ytcP	Glucose-6-Phosphate	1	
ytcP	unk	1	
thiO	TPP	-1	
thiO	unk	-1	
gltC	unk	1	
gltC	2-Oxoglutarate	-1	
gltC	Glutamate	0	
gltC	Glutamate	-1	
gltC	Glutamine	-1	
tagE	unk	-1	
tagE	phosphate	-1	
salA	"D-fructose-1,6-bisphosphate"	1	
salA	Glucose-6-Phosphate	1	
hemX	Hydrogen_peroxide::stress	-1	
ytpQ	Thiol_specific_oxidative_stress::stress	1	
cheW	GTP	1	
cheW	isoleucine	1	
cheW	valine	1	
bmrU	unk	0	
bmrU	Rhodamine6G::stress	1	
bmrU	Tetraphenylphosphonium::stress	0	
aslA	GTP	1	
aslA	isoleucine	1	
aslA	valine	1	
hisB	Histidine	1	
yjdB	phosphate	-1	
kdgR	2-keto-3-deoxygluconate	-1	
kdgR	"D-fructose-1,6-bisphosphate"	1	
kdgR	Glucose-6-Phosphate	1	
codV	GTP	1	
codV	isoleucine	1	
codV	valine	1	
ykzF	"D-fructose-1,6-bisphosphate"	1	
ykzF	Glucose-6-Phosphate	1	
ykzF	Citrate	-1	
kdgK	2-keto-3-deoxygluconate	-1	
kdgK	"D-fructose-1,6-bisphosphate"	1	
kdgK	Glucose-6-Phosphate	1	
yrkQ	unk	0	
yrkD	unk	0	
ubiX	Salicylate::stress	1	
fadR	Palmitoyl-CoA	1	
fadR	Oleoyl-CoA	0	
fadR	"D-fructose-1,6-bisphosphate"	1	
fadR	Glucose-6-Phosphate	1	
levF	fructose	1	
levF	"D-fructose-1,6-bisphosphate"	1	
levF	Glucose-6-Phosphate	1	
serA	GTP	1	
serA	isoleucine	1	
serA	valine	1	
yhdJ	unk	0	
araP	"D-fructose-1,6-bisphosphate"	1	
araP	Glucose-6-Phosphate	1	
araP	Arabinose	-1	
yxdL	stress:toxic-peptide	1	
bioF	Biotin	1	
rapE	ComX	1	
rapE	GTP	1	
rapE	isoleucine	1	
rapE	valine	1	
alsR	acetate	1	
sirC	S-adenosyl-L-methionine	-1	
sirC	O-acetyl-L-serine	-1	
brnQ	4-azaleucine::stress	-1	
nagBB	D-glucosamine-6-phosphate	-1	
pstC	phosphate	-1	
ctaG	Menaquinone	1	
ctaG	"D-fructose-1,6-bisphosphate"	1	
ctaG	Glucose-6-Phosphate	1	
ymaB	Menaquinone	1	
ymaB	deoxyribonucleotides	-1	
sacA	Sucrose	1	
sacA	"D-fructose-1,6-bisphosphate"	1	
sacA	Glucose-6-Phosphate	1	
yvbW	tRNAleu	-1	
pucH	Glutamine	-1	
pucH	Allantoin	1	
pucH	Urate	1	
pucH	Allantoate	1	
clpE	HeatShock	-1	
alaS	tRNAala	-1	
yhgE	unk	0	
rlmB	tRNAcys	-1	
sboA	Menaquinone	1	
ilvD	GTP	1	
ilvD	isoleucine	1	
ilvD	valine	1	
acpA	Malonyl-CoA	-1	
yhcY	Bacitracin::stress	1	
artP	arginine	1	
bglH	Salicin	1	
bglH	Arbutin	1	
bglH	"D-fructose-1,6-bisphosphate"	1	
bglH	Glucose-6-Phosphate	1	
fliG	GTP	1	
fliG	isoleucine	1	
fliG	valine	1	
ruvB	DNA_Damage	1	
buk	GTP	1	
buk	isoleucine	1	
buk	valine	1	
buk	Glutamine	-1	
bceA	Bacitracin::stress	1	
glcK	"D-fructose-1,6-bisphosphate"	1	
glcK	Glucose-6-Phosphate	1	
yesR	unk	0	
yesR	"D-fructose-1,6-bisphosphate"	1	
yesR	Glucose-6-Phosphate	1	
ahpF	Hydrogen_peroxide::stress	-1	
nagA	N-Acetyl-D-glucosamine-6-phosphate	-1	
nagA	"D-fructose-1,6-bisphosphate"	1	
nagA	Glucose-6-Phosphate	1	
plsX	Malonyl-CoA	-1	
plsX	ComX	1	
bioI	Biotin	1	
xkdA	DNA_Damage	1	
yesV	unk	0	
yesV	"D-fructose-1,6-bisphosphate"	1	
yesV	Glucose-6-Phosphate	1	
sdhB	"D-fructose-1,6-bisphosphate"	1	
sdhB	Glucose-6-Phosphate	1	
ytrF	Ramoplanin::stress	-1	
parC	DNA_Damage	1	
ctsR	HeatShock	-1	
codY	GTP	1	
codY	isoleucine	1	
codY	valine	1	
ykuL	"D-fructose-1,6-bisphosphate"	1	
ykuL	Glucose-6-Phosphate	1	
ykuL	Citrate	-1	
yybR	Disulfide_stress_conditions::stress	1	
ytnM	unk	1	
ytnM	O-acetyl-L-serine	-1	
ytnM	Thiol_specific_oxidative_stress::stress	1	
yvfT	unk	0	
yhjM	3-3-neotrehalosadiamine	1	
tagB	unk	-1	
tagB	phosphate	-1	
mtnX	S-adenosyl-L-methionine	-1	
ywlF	Glutamine	-1	
ssuC	O-acetyl-L-serine	-1	
ssuC	Thiol_specific_oxidative_stress::stress	1	
gutR	"D-fructose-1,6-bisphosphate"	1	
gutR	Glucose-6-Phosphate	1	
gutR	Sorbitol	1	
sumT	S-adenosyl-L-methionine	-1	
sumT	O-acetyl-L-serine	-1	
ktrA	ATP	1	
proI	tRNApro	-1	
folEB	Zinc	1	
sirB	S-adenosyl-L-methionine	-1	
sirB	O-acetyl-L-serine	-1	
iolG	2-deoxy-5-keto-D-gluconic-acid-6-phosphate	-1	
iolG	"D-fructose-1,6-bisphosphate"	1	
iolG	Glucose-6-Phosphate	1	
ygaN	O-acetyl-L-serine	-1	
ygaN	Thiol_specific_oxidative_stress::stress	1	
yrbE	unk	-1	
asnH	GTP	1	
asnH	isoleucine	1	
asnH	valine	1	
aprX	DNA_Damage	1	
ogt	GTP	1	
ogt	isoleucine	1	
ogt	valine	1	
argG	arginine	1	
yjcH	GTP	1	
yjcH	isoleucine	1	
yjcH	valine	1	
yozL	DNA_Damage	1	
yuzL	Sdpc	1	
yuzL	Palmitoyl-CoA	1	
yuzL	Oleoyl-CoA	0	
yuzL	"D-fructose-1,6-bisphosphate"	1	
yuzL	Glucose-6-Phosphate	1	
pabA	Tryptophan	1	
dhbF	Iron	1	
thiS	TPP	-1	
thiS	unk	-1	
thiT	TPP	-1	
pbuE	adenine	-1	
fruA	D-fructose-6-phosphate	-1	
fruA	"D-fructose-1,6-bisphosphate"	1	
fruA	Glucose-6-Phosphate	1	
flhA	GTP	1	
flhA	isoleucine	1	
flhA	valine	1	
trpP	Tryptophan	1	
dctR	Succinate::extracellular	1	
dctR	Fumarate::extracellular	1	
dctR	"D-fructose-1,6-bisphosphate"	1	
dctR	Glucose-6-Phosphate	1	
thiD	TPP	-1	
thiD	unk	-1	
resC	Menaquinone	1	
resC	phosphate	-1	
resC	"D-fructose-1,6-bisphosphate"	1	
resC	Glucose-6-Phosphate	1	
fliR	GTP	1	
fliR	isoleucine	1	
fliR	valine	1	
ycnK	Copper	1	
yrrT	Thiol_specific_oxidative_stress::stress	1	
yrrT	O-acetyl-L-serine	-1	
pucB	Glutamine	-1	
pucB	Allantoin	1	
pucB	Urate	1	
pucB	Allantoate	1	
bacF	GTP	1	
bacF	isoleucine	1	
bacF	valine	1	
phrE	ComX	1	
phrE	GTP	1	
phrE	isoleucine	1	
phrE	valine	1	
phrE	"D-fructose-1,6-bisphosphate"	1	
phrE	Glucose-6-Phosphate	1	
liaS	Bacitracin::stress	1	
ymfH	unk	0	
dctS	Succinate::extracellular	1	
dctS	Fumarate::extracellular	1	
dctS	"D-fructose-1,6-bisphosphate"	1	
dctS	Glucose-6-Phosphate	1	
ybxG	GTP	1	
ybxG	isoleucine	1	
ybxG	valine	1	
ycsG	Glutamine	-1	
ycsG	unk	0	
thiV	TPP	-1	
purD	PRPP	-1	
purD	Hypoxanthine	-1	
purD	Guanine	-1	
yqjX	DNA_Damage	1	
rocC	Ornithine	1	
rocC	Citrulline	1	
rocC	GTP	1	
rocC	isoleucine	1	
rocC	valine	1	
rocC	arginine	1	
yneF	DNA_Damage	1	
ileS	tRNAile	-1	
gudP	D-Glucarate	-1	
gudP	D-Galactarate	-1	
ytrD	Ramoplanin::stress	-1	
drm	"D-fructose-1,6-bisphosphate"	1	
drm	Glucose-6-Phosphate	1	
srfAD	Thiol_specific_oxidative_stress::stress	1	
srfAD	Hydrogen_peroxide::stress	-1	
srfAD	ComX	1	
srfAD	GTP	1	
srfAD	isoleucine	1	
srfAD	valine	1	
ganB	unk	-1	
ganB	"D-fructose-1,6-bisphosphate"	1	
ganB	Glucose-6-Phosphate	1	
yfkO	Disulfide_stress_conditions::stress	1	
ctaE	Menaquinone	1	
ctaE	"D-fructose-1,6-bisphosphate"	1	
ctaE	Glucose-6-Phosphate	1	
frlO	Fructoselysine6-phosphate	-1	
frlO	GTP	1	
frlO	isoleucine	1	
frlO	valine	1	
dppA	GTP	1	
dppA	isoleucine	1	
dppA	valine	1	
ydiO	DNA_Damage	1	
yxkF	"D-fructose-1,6-bisphosphate"	1	
yxkF	Glucose-6-Phosphate	1	
bkdAA	GTP	1	
bkdAA	isoleucine	1	
bkdAA	valine	1	
bkdAA	Glutamine	-1	
bmrR	unk	0	
bmrR	Rhodamine6G::stress	1	
bmrR	Tetraphenylphosphonium::stress	0	
yvbF	unk	0	
yfjR	unk	-1	
bkdAB	GTP	1	
bkdAB	isoleucine	1	
bkdAB	valine	1	
bkdAB	Glutamine	-1	
ydfN	Methylglyoxal::stress	-1	
uxuA	Galacturonate	-1	
uxuA	"D-fructose-1,6-bisphosphate"	1	
uxuA	Glucose-6-Phosphate	1	
gabD	4-Aminobutanoate	1	
ldh	NADH	1	
ldh	NAD	1	
